epoch,step,test/mae,test/rmse,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,49,,,,0.34864771366119385,,,
0,99,,,,0.2512948513031006,,,
0,106,,,,,0.5530259609222412,0.7198346257209778,0.5181618928909302
0,106,,,0.38443267345428467,,,,
1,149,,,,0.35624319314956665,,,
1,199,,,,0.45767009258270264,,,
1,213,,,,,0.7229350805282593,0.7982052564620972,0.6371315717697144
1,213,,,0.42445579171180725,,,,
2,249,,,,0.4057424068450928,,,
2,299,,,,0.5318723917007446,,,
2,320,,,,,0.41031450033187866,0.5397557616233826,0.2913362681865692
2,320,,,0.4345438778400421,,,,
3,349,,,,0.37528201937675476,,,
3,399,,,,0.5246140956878662,,,
3,427,,,,,0.536260187625885,0.6978024840354919,0.4869282841682434
3,427,,,0.4053683876991272,,,,
4,449,,,,0.37814217805862427,,,
4,499,,,,0.2801291048526764,,,
4,534,,,,,0.592633068561554,0.7479735016822815,0.5594643354415894
4,534,,,0.3979652523994446,,,,
5,549,,,,0.41886743903160095,,,
5,599,,,,0.3056102991104126,,,
5,641,,,,,0.8532507419586182,0.9963472485542297,0.9927077889442444
5,641,,,0.3868052661418915,,,,
6,649,,,,0.3575685918331146,,,
6,699,,,,0.45977938175201416,,,
6,748,,,,,0.6537637710571289,0.8273084163665771,0.6844392418861389
6,748,,,0.37761199474334717,,,,
7,749,,,,0.40327316522598267,,,
7,799,,,,0.33583763241767883,,,
7,849,,,,0.30913639068603516,,,
7,855,,,,,0.7005295157432556,0.8652338981628418,0.7486297488212585
7,855,,,0.3681810796260834,,,,
8,899,,,,0.3512210547924042,,,
8,949,,,,0.43980029225349426,,,
8,962,,,,,0.603726327419281,0.7672308683395386,0.5886431932449341
8,962,,,0.3584274649620056,,,,
9,999,,,,0.3323717713356018,,,
9,1049,,,,0.3294932246208191,,,
9,1069,,,,,0.7595446705818176,0.8978901505470276,0.8062067031860352
9,1069,,,0.35310468077659607,,,,
10,1099,,,,0.21596896648406982,,,
10,1149,,,,0.3015381395816803,,,
10,1176,,,,,0.6169723868370056,0.7780678868293762,0.6053895950317383
10,1176,,,0.34469079971313477,,,,
11,1199,,,,0.2914493680000305,,,
11,1249,,,,0.3236303925514221,,,
11,1283,,,,,0.8024236559867859,0.9775246977806091,0.9555545449256897
11,1283,,,0.3425738513469696,,,,
12,1299,,,,0.39098286628723145,,,
12,1349,,,,0.22095079720020294,,,
12,1390,,,,,0.7229825854301453,0.9084444642066956,0.8252713084220886
12,1390,,,0.3315047025680542,,,,
13,1399,,,,0.36370983719825745,,,
13,1449,,,,0.39229536056518555,,,
13,1497,,,,,0.7153699398040771,0.8915353417396545,0.7948352694511414
13,1497,,,0.335738867521286,,,,
14,1499,,,,0.2606542110443115,,,
14,1549,,,,0.32732492685317993,,,
14,1599,,,,0.2982597351074219,,,
14,1604,,,,,0.6686176061630249,0.8508904576301575,0.7240145206451416
14,1604,,,0.3288000524044037,,,,
15,1649,,,,0.24074634909629822,,,
15,1699,,,,0.21904656291007996,,,
15,1711,,,,,0.673900306224823,0.8482074737548828,0.719455897808075
15,1711,,,0.3212013244628906,,,,
16,1749,,,,0.43719080090522766,,,
16,1799,,,,0.28398358821868896,,,
16,1818,,,,,0.6567205190658569,0.8437762260437012,0.7119583487510681
16,1818,,,0.3198208808898926,,,,
17,1849,,,,0.3366054892539978,,,
17,1899,,,,0.3380012512207031,,,
17,1925,,,,,0.683865487575531,0.8807887434959412,0.7757887840270996
17,1925,,,0.32047238945961,,,,
18,1949,,,,0.4148028492927551,,,
18,1999,,,,0.2984991669654846,,,
18,2032,,,,,0.6686403751373291,0.8458404541015625,0.7154461145401001
18,2032,,,0.31475168466567993,,,,
19,2049,,,,0.2550642192363739,,,
19,2099,,,,0.24931205809116364,,,
19,2139,,,,,0.7242486476898193,0.9147725701332092,0.8368088006973267
19,2139,,,0.3108031749725342,,,,
20,2140,0.2014872282743454,0.2688642740249634,,,,,
20,2140,0.19940899312496185,0.2665424048900604,,,,,
