epoch,step,train_loss_epoch,train_loss_step,val/r2,val/rmse,val_loss
0,49,,0.5605279207229614,,,
0,99,,0.5350743532180786,,,
0,123,,,0.2911067008972168,0.8559708595275879,0.7326861023902893
0,123,0.6871562600135803,,,,
1,149,,0.5266680717468262,,,
1,199,,0.45174849033355713,,,
1,247,,,0.4853426218032837,0.7293359637260437,0.5319309830665588
1,247,0.5611413717269897,,,,
2,249,,0.6541577577590942,,,
2,299,,0.5196833610534668,,,
2,349,,0.6171241402626038,,,
2,371,,,0.28317368030548096,0.8607469797134399,0.7408853769302368
2,371,0.516281008720398,,,,
3,399,,0.6835675239562988,,,
3,449,,0.49514082074165344,,,
3,495,,,0.42447900772094727,0.7712569832801819,0.5948373675346375
3,495,0.49220094084739685,,,,
4,499,,0.45966026186943054,,,
4,549,,0.48747342824935913,,,
4,599,,0.43921810388565063,,,
4,619,,,0.56075119972229,0.6737889051437378,0.45399144291877747
4,619,0.4759104251861572,,,,
5,649,,0.4538364112377167,,,
5,699,,0.3814252018928528,,,
5,743,,,0.49944472312927246,0.7192743420600891,0.5173555612564087
5,743,0.46560508012771606,,,,
6,749,,0.41274744272232056,,,
6,799,,0.3493926227092743,,,
6,849,,0.5341702699661255,,,
6,867,,,0.5950311422348022,0.6469628810882568,0.4185609817504883
6,867,0.4643796682357788,,,,
7,899,,0.5585176944732666,,,
7,949,,0.4599633514881134,,,
7,991,,,0.5786460638046265,0.6599211692810059,0.43549588322639465
7,991,0.4543931484222412,,,,
8,999,,0.47226211428642273,,,
8,1049,,0.5045371055603027,,,
8,1099,,0.27098605036735535,,,
8,1115,,,0.5711471438407898,0.6657676696777344,0.4432465732097626
8,1115,0.438477098941803,,,,
9,1149,,0.41305476427078247,,,
9,1199,,0.26725611090660095,,,
9,1239,,,0.6040817499160767,0.6396925449371338,0.4092065393924713
9,1239,0.4378874897956848,,,,
10,1249,,0.3605514168739319,,,
10,1299,,0.5407289862632751,,,
10,1349,,0.6874109506607056,,,
10,1363,,,0.6086632013320923,0.6359806060791016,0.40447136759757996
10,1363,0.4271533489227295,,,,
11,1399,,0.45970675349235535,,,
11,1449,,0.48297011852264404,,,
11,1487,,,0.6107945442199707,0.6342463493347168,0.4022684395313263
11,1487,0.42927050590515137,,,,
12,1499,,0.4675649106502533,,,
12,1549,,0.35744014382362366,,,
12,1599,,0.5159161686897278,,,
12,1611,,,0.6122287511825562,0.6330766677856445,0.4007861316204071
12,1611,0.4198702871799469,,,,
13,1649,,0.6803502440452576,,,
13,1699,,0.4321800470352173,,,
13,1735,,,0.6042252779006958,0.6395766139030457,0.40905824303627014
13,1735,0.4213481843471527,,,,
